n	density	trial	time_sec
160	90	17	0.752180
160	90	18	0.663043
160	90	19	0.639446
160	90	20	0.709755
180	90	1	0.980969
180	90	2	0.978742
180	90	3	1.034472
180	90	4	0.983231
180	90	5	0.970299
180	90	6	0.961845
180	90	7	1.002310
180	90	8	0.950026
180	90	9	0.933997
180	90	10	0.953396
180	90	11	0.921786
180	90	12	0.950505
180	90	13	1.018976
180	90	14	0.956858
180	90	15	0.939642
180	90	16	1.012379
180	90	17	0.950817
180	90	18	0.996134
180	90	19	0.996664
180	90	20	0.946696
200	90	1	1.355839
200	90	2	1.351344
200	90	3	1.407882
200	90	4	1.261812
200	90	5	1.303907
200	90	6	1.296610
200	90	7	1.377441
200	90	8	1.303972
200	90	9	1.342708
200	90	10	1.321967
200	90	11	1.319784
200	90	12	1.480670
200	90	13	1.274752
200	90	14	0.997487
200	90	15	1.215237
200	90	16	1.299381
200	90	17	1.286547
200	90	18	1.317865
200	90	19	1.442346
200	90	20	1.348836
